# time,roll_L,pitch_L,yaw_L,roll_R,pitch_R,yaw_R
132102.000000,147.460304,26.870539,-125.231501,57.794188,-40.158127,-114.545574
132103.000000,116.522315,42.658035,-113.172062,33.350872,-26.330274,-129.897851
132104.000000,151.265918,27.720583,-136.433748,77.356281,-38.292841,-104.369581
132105.000000,-164.964533,-11.825227,-132.750261,134.297271,-32.293681,-63.818112
132106.000000,-132.513432,-30.501193,-117.754291,162.843734,-13.982507,-49.589025
132107.000000,-131.211939,-29.691739,-115.085647,158.903149,-19.262844,-48.250081
132108.000000,-105.171004,-32.680370,-97.049953,167.639422,-11.969894,-40.040018
132109.000000,-76.805274,-35.605062,-83.968752,-170.762873,12.941265,-45.753159
132110.000000,-34.091763,-21.960999,-61.573038,-133.242733,41.178653,-64.695303
132111.000000,-87.873748,-35.449178,-90.410193,177.027292,-0.609855,-42.901187
132112.000000,117.912685,38.569160,-110.500725,12.411224,-12.060263,-138.776011
132113.000000,-11.476775,-6.781579,-53.762762,-102.542933,47.391603,-87.189384
132114.000000,-74.548365,-40.004138,-86.737880,-167.974487,14.119043,-55.362238
132115.000000,-144.318697,-26.905089,-130.855789,143.808138,-25.914175,-65.317877
132116.000000,-158.341570,-17.604751,-136.186123,125.373366,-33.589225,-75.596370
132117.000000,-154.676486,-18.229194,-131.026796,119.471354,-37.577338,-76.710500
132118.000000,-142.963155,-25.204079,-127.334666,133.362720,-32.324122,-69.485167
132119.000000,-140.286584,-28.766795,-130.645853,142.958591,-24.991694,-69.820540
132120.000000,-120.643909,-36.869200,-120.859807,160.440250,-13.328718,-66.003547
132121.000000,-61.456783,-36.493259,-82.702045,-163.676138,15.360386,-64.676450
132122.000000,-27.721897,-17.554059,-65.456230,-146.277974,29.509364,-64.491872
132123.000000,-31.273522,-17.095961,-67.304267,-160.108883,21.450778,-54.565363
132124.000000,-85.118568,-31.748059,-93.428417,156.600070,-21.817280,-55.053134
132125.000000,-153.136101,-15.680465,-127.579992,79.990055,-44.082939,-104.993342
132126.000000,158.786555,15.082769,-129.439834,17.131030,-15.411038,-142.071871
132127.000000,120.492697,30.120405,-113.246933,-14.368490,18.364023,-144.596189
132128.000000,70.477110,31.465911,-86.503571,-63.755591,51.777451,-115.686933
132129.000000,-10.619072,-3.201362,-67.299977,-168.009964,16.860843,-47.570087
132130.000000,-77.710242,-27.372361,-91.448274,144.246761,-29.401549,-61.565376
132131.000000,-124.241411,-24.430714,-116.519272,98.056542,-42.829476,-93.750710
132132.000000,-159.609928,-8.000976,-127.902579,47.932473,-34.224537,-128.035877
132133.000000,151.624368,17.767160,-126.198739,1.098820,2.254577,-146.923374
132134.000000,66.577434,30.985613,-91.488526,-70.765709,48.685841,-116.687590
132135.000000,8.273919,9.830205,-72.917812,-144.814542,34.326964,-67.464661
132136.000000,-21.347302,-6.808644,-75.490916,-175.309489,8.369261,-58.034107
132137.000000,-85.625572,-25.702063,-101.365371,133.083472,-30.986795,-77.110035
132138.000000,-153.445849,-13.308002,-135.494043,63.918980,-34.952060,-123.678484
132139.000000,154.976542,18.362486,-138.172679,9.548006,-4.618319,-148.442352
132140.000000,2.471988,5.399300,-77.044270,-161.891811,21.802186,-61.742241
132141.000000,164.188451,10.964300,-130.896883,0.595472,2.901175,-152.046174
132142.000000,13.169218,11.598984,-79.123176,-151.096906,29.741819,-69.137939
132143.000000,-104.806481,-32.613699,-122.193685,131.489574,-23.460297,-92.396553
132144.000000,-157.284911,-13.672541,-148.835601,76.419812,-29.513391,-121.895485
132145.000000,138.892154,26.114776,-136.043177,-7.069744,8.650796,-149.929871
132146.000000,73.254840,29.349413,-99.004859,-83.183293,46.704810,-111.184614
132147.000000,3.350473,6.010047,-78.804558,-168.719189,14.684248,-59.999707
132148.000000,-74.534401,-22.392321,-97.486476,125.292103,-33.698322,-82.282321
132149.000000,-150.021964,-13.795441,-132.580511,48.320434,-29.542657,-132.663406
132150.000000,164.423599,9.928682,-133.191362,-1.455256,4.166143,-149.478943
132151.000000,124.152158,23.128517,-118.133950,-43.202031,38.847203,-136.155649
132152.000000,31.973566,18.430969,-84.542640,-149.759239,30.412941,-67.747664
132153.000000,-162.320120,-6.401460,-129.808394,22.738475,-16.003299,-142.237479
132154.000000,61.076586,26.208896,-92.744254,-124.215306,42.929578,-80.648428
132155.000000,-97.215963,-22.098178,-106.704179,82.887833,-38.394601,-108.343031
132156.000000,103.527893,27.154464,-111.075331,-76.141859,45.438958,-114.916965
132157.000000,-45.353093,-14.000202,-86.621192,134.095274,-29.032894,-75.911512
132158.000000,150.707770,15.214942,-125.982586,-30.873486,29.425765,-142.329005
132159.000000,-19.891609,-3.503545,-81.336608,149.523287,-22.564329,-65.290811
132160.000000,-169.101375,-2.106206,-126.208013,-3.427669,6.141098,-148.557013
132161.000000,70.072396,25.704734,-96.904196,-141.232766,36.882629,-70.034586
132162.000000,-77.722850,-18.677387,-98.020185,76.193431,-39.769363,-112.578703
132163.000000,103.985180,27.273496,-113.219180,-104.205806,47.377428,-96.623921
132164.000000,-19.287276,-3.409937,-80.968984,142.015639,-25.831802,-71.006255
132165.000000,-109.221478,-17.455561,-107.572614,27.438528,-23.336550,-140.205090
132166.000000,158.431561,10.280581,-120.007975,-53.740000,45.690820,-128.424514
132167.000000,41.229491,19.353829,-86.688701,-179.140970,6.426859,-55.637050
132168.000000,-29.142540,-9.320433,-82.364442,132.541480,-27.685865,-81.180726
132169.000000,-133.962604,-36.370554,-149.772194,97.653919,-16.292358,-118.855044
132170.000000,176.723892,-3.930778,99.427696,-145.646687,-15.027489,172.352915
132171.000000,167.740445,-5.592047,-34.694351,-133.384831,70.396052,-7.768233
132172.000000,158.772464,3.502665,-113.156173,117.639885,-38.476409,-75.570946
132173.000000,-152.248515,-23.940826,-133.730329,131.046161,-22.441461,-89.027607
132174.000000,-16.010526,-11.738029,-69.756605,-108.063733,19.592950,-97.321327
132175.000000,114.745530,26.464370,-117.282355,34.801472,-19.366738,-126.102939
132176.000000,-135.864983,-22.331217,-115.309837,177.750178,-3.778702,-64.684587
132177.000000,7.815029,1.077931,-73.074376,-19.579508,13.008348,-127.511095
132178.000000,132.718040,9.262235,-101.792395,122.776018,-40.047075,-68.859357
132179.000000,-57.557389,-14.831406,-80.075972,-62.178743,36.087085,-105.569022
132180.000000,-156.981136,-9.456744,-102.820227,-165.896725,9.184090,-48.778606
132181.000000,106.177877,15.027015,-98.258266,92.400027,-42.441458,-91.433013
132182.000000,-27.187159,-12.190399,-76.779639,-36.578153,22.109568,-122.391585
132183.000000,160.967252,4.017627,-113.347202,155.917818,-20.106680,-61.116286
132184.000000,-20.192834,-9.461192,-76.655936,-19.129874,12.724836,-128.973512
132185.000000,-138.559524,-11.973222,-99.887163,-130.049796,31.190593,-63.898001
132186.000000,151.345757,3.189889,-100.539634,176.164598,-7.571897,-45.893136
132187.000000,58.025191,9.566801,-82.687351,71.582327,-43.715521,-103.691177
132188.000000,-169.631812,-5.886347,-106.601698,-152.894045,16.785893,-55.911882
132189.000000,-16.615198,-9.471909,-76.572775,-6.123120,2.638766,-130.884216
132190.000000,-79.991811,-18.304396,-89.676110,-49.966842,30.163250,-114.160518
